City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Macia,MZ,2021-04-11 22:20:59,-25.0269,33.0989,67.03,94,0,5.19,clear sky
133,Grindavik,IS,2021-04-11 22:20:59,63.8424,-22.4338,37.4,87,75,16.11,light rain
134,Bandarbeyla,SO,2021-04-11 22:20:59,9.4942,50.8122,78.69,72,9,6.78,clear sky
135,Evensk,RU,2021-04-11 22:21:00,61.95,159.2333,3.0,73,16,9.46,few clouds
136,Castro,BR,2021-04-11 22:21:00,-24.7911,-50.0119,65.25,71,11,4.74,few clouds
137,Natal,BR,2021-04-11 22:21:00,-5.795,-35.2094,80.6,83,75,9.22,broken clouds
138,Nome,US,2021-04-11 22:16:36,64.5011,-165.4064,25.0,86,90,27.63,snow
139,Esperance,AU,2021-04-11 22:21:01,-33.8667,121.9,60.8,72,40,21.85,light rain
140,Bemidji,US,2021-04-11 22:17:24,47.4736,-94.8803,50.0,71,90,9.22,overcast clouds
141,Sisimiut,GL,2021-04-11 22:19:18,66.9395,-53.6735,31.03,72,80,10.78,broken clouds
142,Lagoa,PT,2021-04-11 22:21:01,39.05,-27.9833,61.99,84,100,7.94,overcast clouds
143,Coquimbo,CL,2021-04-11 22:21:02,-29.9533,-71.3436,59.0,82,0,12.66,clear sky
144,Kawalu,ID,2021-04-11 22:21:02,-7.3817,108.2082,72.03,97,80,0.78,broken clouds
145,Mabaruma,GY,2021-04-11 22:21:02,8.2,-59.7833,76.26,92,100,3.58,overcast clouds
146,Moree,AU,2021-04-11 22:21:02,-29.4667,149.85,50.0,57,0,5.75,clear sky
147,Padang,ID,2021-04-11 22:21:03,-0.9492,100.3543,75.2,100,90,2.3,overcast clouds
148,Cabcaben,PH,2021-04-11 22:21:03,14.454,120.5914,79.0,78,40,4.61,scattered clouds
149,Parabel,RU,2021-04-11 22:21:03,58.6978,81.4825,35.56,86,100,13.69,overcast clouds
150,Geraldton,AU,2021-04-11 22:21:04,-28.7667,114.6,73.4,88,75,19.57,broken clouds
151,Acarau,BR,2021-04-11 22:21:04,-2.8856,-40.12,79.57,82,100,11.41,overcast clouds
152,Sao Felix Do Xingu,BR,2021-04-11 22:21:04,-6.6447,-51.995,75.33,88,99,2.17,overcast clouds
153,Laguna,US,2021-04-11 22:20:57,38.421,-121.4238,82.99,14,1,4.61,clear sky
154,Provideniya,RU,2021-04-11 22:21:04,64.3833,-173.3,11.62,84,100,29.24,light snow
155,Bethel,US,2021-04-11 22:21:05,41.3712,-73.414,55.4,82,90,6.91,light rain
156,Iqaluit,CA,2021-04-11 22:18:23,63.7506,-68.5145,30.2,93,90,17.27,overcast clouds
157,Tymovskoye,RU,2021-04-11 22:21:05,50.8456,142.655,37.11,90,100,1.92,overcast clouds
158,San Cristobal,VE,2021-04-11 22:21:05,7.7669,-72.225,87.8,58,40,9.22,scattered clouds
159,Dubai,AE,2021-04-11 22:21:06,25.2582,55.3047,87.8,29,0,4.61,clear sky
160,Thompson,CA,2021-04-11 22:21:06,55.7435,-97.8558,26.6,68,90,12.66,overcast clouds
161,Melilla,ES,2021-04-11 22:21:06,35.2937,-2.9383,64.4,63,0,8.05,clear sky
162,Te Anau,NZ,2021-04-11 22:21:06,-45.4167,167.7167,52.83,89,81,1.23,broken clouds
163,Goure,NE,2021-04-11 22:21:07,13.9835,10.2704,83.62,7,79,8.55,broken clouds
164,Santa Cruz Del Sur,CU,2021-04-11 22:21:07,20.7147,-77.9956,82.26,70,53,12.86,broken clouds
165,Nisia Floresta,BR,2021-04-11 22:21:07,-6.0911,-35.2086,80.6,83,75,9.22,broken clouds
166,Mount Gambier,AU,2021-04-11 22:21:07,-37.8333,140.7667,51.8,87,90,3.42,overcast clouds
167,Clovis,US,2021-04-11 22:21:08,36.8252,-119.7029,80.01,29,75,8.05,broken clouds
168,Zilina,SK,2021-04-11 22:21:08,49.1667,19.1667,52.0,100,100,4.65,overcast clouds
169,Ocos,GT,2021-04-11 22:21:08,14.5094,-92.1933,91.4,58,1,12.66,clear sky
170,Verkhnevilyuysk,RU,2021-04-11 22:21:09,63.4453,120.3167,-2.06,99,81,4.99,broken clouds
171,Fortuna,US,2021-04-11 22:21:09,40.5982,-124.1573,60.01,66,1,16.11,clear sky
172,Buraydah,SA,2021-04-11 22:21:09,26.326,43.975,68.0,37,0,12.66,clear sky
173,Ust-Ishim,RU,2021-04-11 22:21:10,57.6935,71.1665,36.18,81,98,8.9,overcast clouds
174,Trofors,NO,2021-04-11 22:21:10,65.5333,13.4063,32.0,93,75,1.14,broken clouds
175,Ankang,CN,2021-04-11 22:21:10,32.68,109.0172,51.31,92,97,1.83,overcast clouds
176,Waingapu,ID,2021-04-11 22:21:10,-9.6567,120.2641,75.69,83,62,4.85,broken clouds
177,Tautira,PF,2021-04-11 22:21:11,-17.7333,-149.15,86.0,66,75,14.97,broken clouds
178,Bossier City,US,2021-04-11 22:21:11,32.516,-93.7321,82.4,28,1,4.05,clear sky
179,Sinnamary,GF,2021-04-11 22:17:24,5.3833,-52.95,78.42,83,58,4.59,broken clouds
180,Hovd,MN,2021-04-11 22:21:11,48.0056,91.6419,28.85,31,0,5.17,clear sky
181,Saint-Francois,FR,2021-04-11 22:21:11,46.4154,3.9054,39.99,93,75,8.05,broken clouds
182,Lompoc,US,2021-04-11 22:21:12,34.6391,-120.4579,62.6,55,83,14.97,broken clouds
183,Gualaquiza,EC,2021-04-11 22:21:12,-3.4,-78.55,65.03,97,99,1.19,light rain
184,Abu Samrah,SY,2021-04-11 22:21:12,35.3029,37.1841,45.3,79,6,5.91,clear sky
185,Batticaloa,LK,2021-04-11 22:19:02,7.7102,81.6924,78.8,82,97,4.97,overcast clouds
186,Dabhol,IN,2021-04-11 22:21:13,17.6,73.1667,78.98,60,32,5.39,scattered clouds
187,Souillac,MU,2021-04-11 22:17:07,-20.5167,57.5167,77.0,94,75,6.91,broken clouds
188,Maun,BW,2021-04-11 22:21:13,-19.9833,23.4167,68.0,56,0,4.61,clear sky
189,Saint-Georges,GD,2021-04-11 22:21:13,12.0564,-61.7485,82.4,74,20,9.22,few clouds
190,Puerto Carreno,CO,2021-04-11 22:21:14,6.189,-67.4859,77.18,90,100,8.12,moderate rain
191,Mahebourg,MU,2021-04-11 22:16:19,-20.4081,57.7,77.0,94,75,6.91,broken clouds
192,Airai,TL,2021-04-11 22:21:14,-8.9266,125.4092,58.5,87,23,2.08,few clouds
193,Hilo,US,2021-04-11 22:18:44,19.7297,-155.09,80.6,44,1,11.5,clear sky
