City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
241,Kyabe,TD,93.58,overcast clouds,9.4515,18.9449,
244,Avera,US,72.0,clear sky,33.194,-82.5271,
249,Arraial Do Cabo,BR,82.4,clear sky,-22.9661,-42.0278,Pousada Porto Praia
250,Port Hedland,AU,80.6,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
253,Puerto Carreno,CO,88.09,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
254,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
257,Chuy,UY,70.5,heavy intensity rain,-33.6971,-53.4616,Nuevo Hotel Plaza
262,San Patricio,US,89.01,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
263,Faya,SA,69.8,clear sky,18.3851,42.4509,مقبرة ال مجمل
264,Cabinda,AO,80.11,light rain,-5.55,12.2,"Hotel Executivo , 3 estrelas"
267,Coro,VE,84.34,overcast clouds,11.4045,-69.6734,Federal
271,Mimoso Do Sul,BR,73.27,clear sky,-21.0642,-41.3664,Mimoso Plaza Hotel
272,Vila Velha,BR,80.6,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
274,Teguise,ES,69.8,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
275,Bambanglipuro,ID,76.51,overcast clouds,-7.95,110.2833,Puri Brata
276,Koumac,NC,75.9,overcast clouds,-20.5667,164.2833,Le Monitel
279,Maceio,BR,82.4,scattered clouds,-9.6658,-35.7353,Poutur Pousada
280,Guane,CU,86.05,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
282,Meulaboh,ID,78.76,overcast clouds,4.1363,96.1285,Kost Pria
286,Atar,MR,88.88,clear sky,20.5169,-13.0499,Oumou Elghoura
288,Jasper,US,79.0,clear sky,37.2001,-94.3502,Guest House Motel
290,Keti Bandar,PK,80.02,scattered clouds,24.1447,67.4497,Haji laloo memon house
292,Saint Andrews,US,79.0,broken clouds,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
293,Merced,US,73.0,clear sky,37.1666,-120.7516,
294,Carora,VE,88.07,overcast clouds,10.1755,-70.0827,Hotel Irpinia
297,Posse,BR,78.46,overcast clouds,-14.0931,-46.3694,Pousada das Palmeiras
300,Noumea,NC,78.01,clear sky,-22.2763,166.4572,Hôtel Le Lagon
304,San Policarpo,PH,79.34,overcast clouds,12.1791,125.5072,JM Lodge
306,Iquique,CL,69.8,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
310,Champerico,GT,95.0,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
313,Bitam,GA,72.03,overcast clouds,2.076,11.5007,Bénédicta hôtel
317,Bozoum,CF,75.04,overcast clouds,6.3193,16.3799,
322,Vanimo,PG,78.06,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
327,Tabou,CI,80.78,few clouds,4.423,-7.3528,hotêl doufoulougou
329,Luanda,AO,77.0,light rain,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
330,San Carlos Del Zulia,VE,82.2,overcast clouds,9.0,-71.9135,Hotel El Manantial
331,Buluang,PH,73.63,broken clouds,13.3068,123.3425,Enon Beach Resort
332,Asyut,EG,69.8,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
334,Pemangkat,ID,76.33,broken clouds,1.1667,108.9667,Kost H.Syamsuddin
335,Sinnamary,GF,76.46,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
336,Ahipara,NZ,66.33,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
337,Adre,TD,84.63,scattered clouds,13.4667,22.2,
338,Ruwi,OM,82.4,clear sky,23.5996,58.5507,Al Falaj Hotel
341,Parrita,CR,69.8,broken clouds,9.5201,-84.3225,Beso del Viento
342,Monrovia,LR,80.6,broken clouds,6.3005,-10.7969,Sunset Inn
344,Taoudenni,ML,90.18,clear sky,22.6783,-3.9836,
345,Ishigaki,JP,72.54,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
349,Buraydah,SA,86.0,dust,26.326,43.975,فندق راحة السلام
350,Belmonte,BR,84.2,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
352,Lucapa,AO,68.54,moderate rain,-8.4192,20.7447,Residência Ulisses Dos Santos
354,Ambon,ID,75.2,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
356,Paracuru,BR,82.99,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
357,Duku,NG,94.21,overcast clouds,11.2361,4.9073,
362,Asosa,ET,74.37,clear sky,10.0667,34.5333,Blendana Hotel Assosa
363,Manicore,BR,84.49,overcast clouds,-5.8092,-61.3003,Hotel Durval
365,Thamaga,BW,66.2,clear sky,-24.6701,25.5397,The Signature Hotel
369,San Ignacio,BZ,96.8,few clouds,17.1561,-89.0714,Rainforest Haven Inn
371,Itarema,BR,81.95,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
374,Grand Gaube,MU,75.99,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
378,Nokaneng,BW,69.73,clear sky,-19.6667,22.2667,
379,Barpeta,IN,69.8,mist,26.3167,91.0,MJ GUEST HOUSE
380,Charleston,US,75.2,clear sky,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
381,Arrecife,ES,69.8,few clouds,28.963,-13.5477,Hotel Lancelot
382,Labuhan,ID,78.39,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
384,Rasra,IN,80.82,clear sky,25.85,83.85,shree nath singh
386,Kahului,US,78.8,few clouds,20.8947,-156.47,Maui Seaside Hotel
388,Lorengau,PG,79.83,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
389,Bijni,IN,72.12,clear sky,26.4959,90.70299999999999,Hotel Fame City
390,Balkanabat,TM,79.47,overcast clouds,39.5108,54.3671,Nebitchi Hotel
395,Pontianak,ID,78.8,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
397,Zaraza,VE,94.53,overcast clouds,9.3503,-65.3245,Hotel Zaraza
400,Plattsburgh,US,75.0,clear sky,44.6995,-73.4529,La Quinta Inn & Suites by Wyndham Plattsburgh
401,Callaway,US,69.8,moderate rain,30.153000000000002,-85.5699,Holiday Inn Express & Suites Panama City-Tyndall
408,Tabuk,PH,71.15,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
409,Praia,CV,71.6,few clouds,14.9215,-23.5087,LT Aparthotel
412,Katobu,ID,75.15,overcast clouds,-4.9408,122.5276,La Ode Husein
414,Ejutla De Crespo,MX,87.08,clear sky,16.5667,-96.7333,Hotel en ejutla
415,Thomaston,US,73.0,scattered clouds,32.8882,-84.3266,Days Inn by Wyndham Thomaston
416,Abu Dhabi,AE,75.2,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
420,Saint-Georges,GD,86.0,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
429,Karratha,AU,82.98,few clouds,-20.7377,116.8463,ibis Styles Karratha
430,Urucui,BR,84.61,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
431,Dzaoudzi,YT,82.4,scattered clouds,-12.7887,45.2699,Le Rocher
432,Redding,US,72.0,clear sky,40.5865,-122.3917,Redding Inn & Suites
434,Aden,YE,80.89,clear sky,12.7794,45.0367,Sama Emirate Hotel
435,Paramonga,PE,73.0,broken clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
437,Camopi,GF,76.8,overcast clouds,3.1655,-52.3158,
438,Bandarbeyla,SO,78.13,clear sky,9.4942,50.8122,JABIR HOTEL
440,Arlit,NE,89.73,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
442,Necochea,AR,68.0,clear sky,-38.5473,-58.7368,dyd -mar Hotel
444,Mazatlan,MX,84.2,clear sky,23.2167,-106.4167,Hotel Club Playamar
445,Luebo,CD,71.26,overcast clouds,-5.35,21.4167,
449,Sechura,PE,81.25,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
450,Matara,LK,76.41,clear sky,5.9485,80.5353,Amaloh Boutique Resort
451,Lodwar,KE,89.38,scattered clouds,3.1191,35.5973,Turkwel Lodge
452,Gauribidanur,IN,73.4,few clouds,13.6111,77.5167,Baba ramdev ice cream jus center
453,Barraute,CA,71.6,broken clouds,48.4335,-77.6328,Auberge La Fille d'à côté
454,Rudbar,AF,76.55,clear sky,30.15,62.6,
455,Cidreira,BR,76.8,scattered clouds,-30.1811,-50.2056,Hotel Castelo
